#,Kana,Kanji,Type,Definition/s
3965,ひゃっかじてん,,n,encyclopedia
3966,ひよう,費用,n,"cost, expense"
3967,ひょう,表,"n,n-suf","table (e.g. Tab 1), chart, list"
3968,びよう,美容,n,beauty of figure or form
3969,びょう,秒,n,second (60th min)
3970,~びょう,~病,,
3971,びょういん,病院,n,hospital
3972,ひょうか,評価,"n,vs","valuation, estimation, assessment, evaluation"
3973,びょうき,病気,n,"illness, disease, sickness"
3974,ひょうげん,表現,"n,vs","expression, presentation, representation (math)"
3975,ひょうし,表紙,n,"front cover, binding"
3976,ひょうしき,標識,n,"sign, mark"
3977,ひょうじゅん,標準,n,"standard, level"
3978,ひょうじょう,表情,n,facial expression
3979,びょうどう,平等,"adj-na,n","equality (a), impartiality, evenness"
3980,ひょうばん,評判,"adj-no,n","fame, reputation, popularity, arrant"
3981,ひょうほん,標本,n,"example, specimen"
3982,ひょうめん,表面,n,"surface, outside, face, appearance"
3983,ひょうろん,評論,n,"criticism, critique"
3984,ひらがな,平仮名,n,"hiragana, 47 syllables, the cursive syllabary"
3985,ひらく,開く,v5k,to open (e.g. a festival)
3986,ビル,,n,"(abbr) building, bill"
3987,ひる,昼,"n-adv,n-t","noon, daytime"
3988,ビルディング,,n,building
3989,ひるね,昼寝,"n,vs","nap (at home), siesta"
3990,ひるま,昼間,"n-adv,n-t","daytime, during the day"
3991,ひろい,広い,adj,"spacious, vast, wide"
3992,ひろう,拾う,v5u,"to pick up, to find, to gather"
3993,ひろがる,広がる,v5r,"to spread (out), to extend, to stretch, to reach to, to get around"
3994,ひろげる,広げる,v1,"to spread, to extend, to expand, to enlarge"
3995,ひろさ,広さ,n,extent
3996,ひろば,広場,n,plaza
3997,ひろびろ,広々,"adj-na,adv,n","extensive, spacious"
3998,ひろめる,広める,v1,"to broaden, to propagate"
3999,ひん,品,n,"thing, article, goods, dignity, article (goods), counter for meal courses"
4000,びん,瓶,n,bottle
4001,びん,便,,"way, means"
4002,ピン,,n,pin
4003,ピンク,,"adj-no,n",pink
4004,びんせん,便箋,n,"writing paper, stationery"
4005,びんづめ,瓶詰,"adj-no,n,vs","bottling, bottled"
4006,ふ,不,,"un, non, negative prefix"
4007,ぶ,不,,"un, non, negative prefix"
4008,ぶ,無,n,"nothing, naught, nil, zero"
4009,ぶ,分,"n,n-suf,pref","dividing, part"
4010,~ぶ,~部,,
4011,ファスナー,,n,"fastener, zipper"
4012,ふあん,不安,"adj-na,n","anxiety, uneasiness, insecurity, suspense"
4013,フィルム,,n,film (roll of)
4014,~ふう,~風,,
4015,ふうけい,風景,n,scenery
4016,ふうせん,風船,n,balloon
4017,ふうとう,封筒,n,envelope
4018,ふうふ,夫婦,n,"married couple, husband and wife"
4019,プール,,n,swimming pool
4020,ふうん,不運,"adj-na,n","unlucky, misfortune, bad luck, fate"
4021,ふえ,笛,n,"flute, pipe"
4022,ふえる,増える,"v1,vi","to increase, to multiply"
4023,ふえる,殖える,"v1,vi","to increase, to multiply"
4024,フォーク,,n,"folk, fork"
4025,ふか,不可,"n,n-suf","wrong, bad, improper, unjustifiable, inadvisable"
4026,ふかい,深い,adj,"deep, profound, thick, close"
4027,ふかまる,深まる,"v5r,vi","to deepen, to heighten, to intensify"
4028,ぶき,武器,n,"weapon, arms, ordinance"
4029,ふきそく,不規則,"adj-na,n","irregularity, unsteadiness, disorderly"
4030,ふきゅう,普及,"n,vs","diffusion, spread"
4031,ふきん,付近,"n,n-suf","neighbourhood, vicinity, environs"
4032,ふく,吹く,v5k,"(1) to blow (wind, etc), (2) to emit, to spout"
4033,ふく,拭く,v5k,"to wipe, to dry"
4034,ふく,服,"n,n-suf",clothes
4035,ふく~,副~,,
4036,ふくざつ,複雑,"adj-na,n","complexity, complication"
4037,ふくし,副詞,n,adverb
4038,ふくしゃ,複写,n,"copy, duplicate"
4039,ふくしゅう,復習,"n,vs","review, revision"
4040,ふくすう,複数,n,"plural, multiple"
4041,ふくそう,服装,n,garments
4042,ふくむ,含む,v5m,"to hold in the mouth, to bear in mind"
4043,ふくめる,含める,"v1,vt","to include, to instruct, to make one understand"
4044,ふくらます,膨らます,v5s,"to swell, to expand, to inflate, to bulge"
4045,ふくらむ,膨らむ,v5m,"to expand, to swell (out), to get big, to become inflated"
4046,ふくろ,袋,n,"bag, sack"
4047,ふけつ,不潔,"adj-na,n","unclean, dirty, filthy, impure"
4048,ふける,更ける,v1,"to get late, to advance, to wear on"
4049,ふこう,不幸,"adj-na,n","unhappiness, sorrow, misfortune, disaster, accident, death"
4050,ふごう,符号,n,"sign, mark, symbol"
4051,ふさい,夫妻,n,"man and wife, married couple"
4052,ふさがる,塞がる,"v5r,vi","to be plugged up, to be shut up"
4053,ふさぐ,塞ぐ,"v5g,vt","to stop up, to close up, to block (up)"
4054,ふざける,,v1,"to romp, to gambol, to frolic, to joke"
4055,ぶさた,無沙汰,n,neglecting to stay in contact
4056,ふし,節,n-suf,"tune, tone, knot, knob, point"
4057,ぶし,武士,n,"warrior, samurai"
4058,ぶじ,無事,"adj-na,n","safety, peace, quietness"
4059,ふしぎ,不思議,"adj-na,n","mystery, curiosity"
4060,ぶしゅ,部首,n,radical (of a kanji character)
4061,ふじゆう,不自由,"adj-na,n","discomfort, disability, inconvenience, destitution"
4062,ふじん,夫人,n,"wife, Mrs, madam"
4063,ふじん,婦人,n,"woman, female"
4064,ふすま,襖,n,sliding screen
4065,ふせい,不正,"adj-na,n","injustice, unfairness"
4066,ふせぐ,防ぐ,"v5g,vt","to defend (against), to protect, to prevent"
4067,ふそく,不足,"adj-na,n","insufficiency, shortage, deficiency, lack, dearth"
4068,ふぞく,附属,"n,vs","attached, belonging, affiliated"
4069,ふた,蓋,n,"cover, lid, cap"
4070,ぶたい,舞台,n,stage (theatre)
4071,ふたご,双子,n,"twins, a twin"
4072,ふたたび,再び,adv,"again, once more, a second time"
4073,ふたつ,二つ,n,two
4074,ふたり,二人,n,"two persons, two people, pair, couple"
4075,ふだん,普段,"adj-no,adj-na,n-adv,n","usually, habitually, ordinarily, always"
4076,ふち,縁,n,"a means, e.g. of living"
4077,ぶつ,打つ,v5t,"to hit, to strike"
4078,~ぶつ,~物,,
4079,ふつう,普通,"adj-na,adj-no,adv,n","(1) generally, ordinarily, usually, (2) train that stops at every station"
4080,ふつう,不通,n,"suspension, interruption, stoppage, tie-up, cessation"
4081,ふつか,二日,n,"second day of the month, two days"
4082,ぶっか,物価,n,"prices of commodities, prices (in general)"
4083,ぶつかる,,v5r,"to strike, to collide with"
4084,ぶつける,,v1,"to knock, to run into, to nail on, to strike hard, to hit and attack"
4085,ぶっしつ,物質,n,"material, substance"
4086,ぶっそう,物騒,"adj-na,n","dangerous, disturbed, insecure"
4087,ぶつぶつ,,"adv,n","grumbling, complaining in a small voice"
4088,ぶつり,物理,n,physics
4089,ふで,筆,n,writing brush
4090,（副）,ふと,adv,"suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally"
4091,ふとい,太い,adj,"fat, thick"
4092,ふとる,太る,v5r,"to grow fat (stout, plump), to become fat"
4093,ふとん,布団,n,"bedding (Japanese style), futon"
4094,ふなびん,船便,n,surface mail (ship)
4095,ふね,舟,n,"ship, boat, watercraft, shipping, vessel, steamship"
4096,ふね,船,n,"ship, boat, watercraft, shipping, vessel, steamship"
4097,ぶひん,部品,n,"parts, accessories"
4098,ふぶき,吹雪,n,snow storm
4099,ぶぶん,部分,n,"portion, section, part"
4100,ふへい,不平,"adj-na,n","complaint, discontent, dissatisfaction"
4101,ふべん,不便,"adj-na,n","inconvenience, inexpediency, unhandiness"
4102,ふぼ,父母,n,"father and mother, parents"
4103,ふまん,不満,"adj-na,n","dissatisfaction, displeasure, discontent, complaints, unhappiness"
4104,ふみきり,踏切,n,"railway crossing, level crossing, starting line, scratch, crossover"
4105,ふむ,踏む,v5m,"to step on, to tread on"
4106,ふもと,麓,n,"the foot, the bottom, the base (of a mountain)"
4107,ふやす,増やす,"v5s,vt","to increase, to add to, to augment"
4108,ふやす,殖やす,"v5s,vt","to increase, to add to, to augment"
4109,ふゆ,冬,"n-adv,n-t",winter
4110,フライパン,,n,"fry pan, frying pan"
4111,ブラウス,,n,blouse
4112,ぶらさげる,,v1,"to hang, to suspend, to dangle, to swing"
4113,ブラシ,,n,"brushy, brush"
4114,プラス,,n,plus
4115,プラスチック,,n,plastic
4116,プラットホーム,,n,platform
4117,プラン,,n,plan
4118,ふり,不利,"adj-na,n","disadvantage, handicap, unfavorable, drawback"
4119,~ぶり,~振り,,
4120,フリー,,"adj-na,n",free
4121,ふりがな,振り仮名,hiragana over kanji,", pronunciation key"
4122,ふりむく,振り向く,v5k,"to turn one's face, to turn around"
4123,プリント,,n,"print, handout"
4124,ふる,降る,v5r,"to precipitate, to fall (e.g. rain)"
4125,ふる,振る,"v5r,vt","(1) to wave, to shake, to swing, (2) to sprinkle, (3) to cast (actor), to allocate (work)"
4126,ふる~,古~,,
4127,ふるい,古い,adj,"old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article"
4128,ふるえる,震える,v1,"to shiver, to shake, to quake"
4129,ふるさと,故郷,n,"home town, birthplace, old village, historic village, native place, one's old home"
4130,ふるさと,古里,n,"home town, birthplace, old village, historic village, native place, one's old home"
4131,ふるまう,振舞う,v5u,"to behave, to conduct oneself, to entertain (vt)"
4132,ブレーキ,,n,a brake
4133,プレゼント,,n,"present, gift"
4134,ふれる,触れる,v1,"to touch, to be touched, to touch on a subject, to feel, to violate (law, copyright, etc.), to perceive, to be emotionally moved"
4135,ふろ,風呂,n,bath
4136,プロ,,n,professional
4137,ブローチ,,n,brooch
4138,プログラム,,n,program
4139,ふろしき,風呂敷,n,"wrapping cloth, cloth wrapper"
4140,ふわふわ,,,"light, soft"
4141,~ふん,~分,,~ minutes
4142,ぶん,分,"n,n-suf,pref","dividing, part, segment"
4143,ぶん,文,n,sentence
4144,ふんいき,雰囲気,n,"atmosphere (e.g. musical), mood, ambience"
4145,ふんか,噴火,"n,vs",eruption
4146,ぶんか,文化,n,"culture, civilization"
4147,ぶんかい,分解,n,"analysis, disassembly"
4148,ぶんがく,文学,n,literature
4149,ぶんげい,文芸,n,"literature, art and literature, belles-lettres"
4150,ぶんけん,文献,n,"literature, books (reference)"
4151,ぶんしょう,文章,n,"sentence, article"
4152,ふんすい,噴水,n,water fountain
4153,ぶんすう,分数,n,fraction (in math)
4154,ぶんせき,分析,"n,vs",analysis
4155,ぶんたい,文体,n,literary style
4156,ぶんぷ,分布,n,distribution
4157,ぶんぽう,文法,n,grammar
4158,ぶんぼうぐ,文房具,n,stationery
4159,ぶんみゃく,文脈,n,context
4160,ぶんめい,文明,n,"civilization, culture"
4161,ぶんや,分野,n,"field, sphere, realm, division, branch"
4162,ぶんりょう,分量,n,"amount, quantity"
4163,ぶんるい,分類,"n,vs",classification
4164,へい,塀,n,"wall, fence"
4165,へいかい,閉会,"n,vs",closure
4166,へいき,平気,"adj-na,n","coolness, calmness, composure, unconcern"
4167,へいきん,平均,n,"equilibrium, balance, average, mean"
4168,へいこう,並行,"adj-na,n,vs","(going) side by side, concurrent, abreast, at the same time"
4169,へいじつ,平日,"n-adv,n","weekday, ordinary days"
4170,へいたい,兵隊,n,"soldier, sailor"
4171,へいぼん,平凡,"adj-na,n","common, commonplace, ordinary, mediocre"
4172,へいや,平野,n,"plain, open field"
4173,へいわ,平和,"adj-na,n","peace, harmony"
4174,ページ,,n,page
4175,へこむ,凹む,v5m,"to be dented, to be indented, to yield to, to give, to sink, to collapse, to cave in, to be snubbed"
4176,へそ,,n,"navel, belly-button"
4177,へた,下手,"adj-na,n","unskillful, poor, awkward"
4178,へだてる,隔てる,v1,to be shut out
4179,べつ,別,"adj-na,n,n-suf","distinction, difference, different, another, particular, separate, extra, exception"
4180,べっそう,別荘,n,"holiday house, villa"
4181,ベッド,,n,bed
4182,べつに,別に,adv,"(not) particularly, nothing"
4183,べつべつ,別々,"adj-na,n","separately, individually"
4184,ベテラン,,n,veteran
4185,へや,部屋,n,room
4186,へらす,減らす,"v5s,vt","to abate, to decrease, to diminish, to shorten"
4187,ヘリコプター,,n,helicopter
4188,へる,減る,"v5r,vi","to decrease (in size or number), to diminish, to abate"
4189,へる,,"v5r,vi","to decrease (in size or number), to diminish, to abate"
4190,ベル,,n,bell (BEL)
4191,ベルト,,n,Belt for western clothes
4192,へん,変,"adj-na,n","change, incident, disturbance, strange"
4193,へん,辺,n,"area, vicinity"
4194,~へん,~編,,
4195,~へん,~遍,,
4196,ぺん,,,pen
4197,~べん,~弁,n,"speech, dialect"
4198,へんか,変化,"n,p-suru","change, variation, alteration"
4199,ペンキ,,n,paint
4200,べんきょう,勉強,"n,vs","study, diligence, discount, reduction"
4201,へんこう,変更,"n,vs","change, modification, alteration"
4202,へんじ,返事,"n,vs","reply, answer"
4203,へんしゅう,編集,"n,vs","editing, compilation, editorial (e.g. committee)"
4204,べんじょ,便所,n,"toilet, lavatory, rest room, latrine, comfort station"
4205,ペンチ,,n,(abbr) pliers (lit: pinchers)
4206,ベンチ,,n,bench
4207,べんとう,弁当,n,box lunch
4208,べんり,便利,"adj-na,n","convenient, handy, useful"
4209,~ほ,~歩,,
4210,~ぽい,,,~ish
4211,ほう,方,"n-adv,n",side
4212,ほう,法,"n,n-suf",Act (law: the X Act)
4213,（比較）,~ほう,,
4214,ぼう,棒,n,"pole, rod, stick"
4215,ぼう~,防~,,
4216,ぼうえき,貿易,n,trade (foreign)
4217,ぼうえんきょう,望遠鏡,n,telescope
4218,ほうがく,方角,n,"direction, way, compass point"
4219,ほうき,箒,oK,(n) broom
4220,ほうげん,方言,n,dialect
4221,ぼうけん,冒険,n,"risk, venture, adventure"
4222,ほうこう,方向,n,"direction, course, way"
4223,ほうこく,報告,"n,vs","report, information"
4224,ぼうさん,坊さん,n,"Buddhist priest, monk"
4225,ぼうし,帽子,n,hat
4226,ぼうし,防止,n,"prevention, check"
4227,ほうしん,方針,n,"objective, plan, policy"
4228,ほうせき,宝石,n,"gem, jewel"
4229,ほうそう,放送,"n,vs","broadcast, broadcasting"
4230,ほうそう,包装,"n,vs","packing, wrapping"
4231,ほうそく,法則,n,"law, rule"
4232,ほうたい,包帯,"n,vs","bandage, dressing"
4233,ぼうだい,膨大,"adj-na,n","huge, bulky, enormous, extensive, swelling, expansion"
4234,ほうちょう,庖丁,n,"kitchen knife, carving knife"
4235,ほうていしき,方程式,n,equation
4236,ぼうはん,防犯,n,prevention of crime
4237,ほうふ,豊富,"adj-na,n","abundance, wealth, plenty, bounty"
4238,ほうほう,方法,n,"method, manner, way, means, technique"
4239,ほうぼう,方々,"adv,conj,n-adv,n-t","persons, this and that, here and there, everywhere"
4240,ほうめん,方面,n,"direction, district, field (e.g., of study)"
4241,ほうもん,訪問,"n,vs","call, visit"
4242,ぼうや,坊や,n,boy
4243,ほうりつ,法律,n,law
4244,ほうる,放る,v5r,to let go
4245,ほえる,吠える,v1,"to bark, to bay, to howl, to bellow, to roar, to cry"
4246,ボーイ,,n,boy
4247,ボート,,n,rowing boat
4248,ボーナス,,n,bonus
4249,ホーム,,n,"(1) platform, (2) home"
4250,ボール,,n,"ball, bowl"
4251,ボールペン,,n,ball-point pen
4252,ほか,他,"n-adv,n",other (esp. places and things)
4253,ほか,外,n,"other place, the rest"
4254,ほがらか,朗らか,"adj-na,n","brightness, cheerfulness, melodious"
4255,ぼく,僕,n,"(male) I, manservant"
4256,ぼくじょう,牧場,n,"(1) farm (livestock), (2) pasture land, meadow, grazing land"
4257,ぼくちく,牧畜,n,stock-farming
4258,ポケット,,n,pocket
4259,ほけん,保健,n,"health preservation, hygiene, sanitation"
4260,ほこり,誇り,n,pride
4261,ほこり,埃,n,dust
4262,ほし,星,n,star
4263,ほしい,欲しい,adj,"wanted, wished for, in need of, desired"
4264,ぼしゅう,募集,"n,vs","recruiting, taking applications"
4265,ほしょう,保証,"n,vs","guarantee, security, assurance, pledge, warranty"
4266,ほす,干す,"v5s,vt","to air, to dry, to desiccate, to drain (off), to drink up"
4267,ポスター,,n,poster
4268,ポスト,,n,"post, post-, mail box"
4269,ほそい,細い,adj,"thin, slender, fine"
4270,ほぞん,保存,"n,vs","preservation, conservation, storage, maintenance"
4271,ボタン,,pt:,(n) button (pt: bota~o)
4272,ほっきょく,北極,n,North Pole
4273,ぼっちゃん,坊っちゃん,n,son (of others)
4274,ホテル,,n,hotel
4275,ほど,程,"n-adv,n","degree, extent, bounds, limit"
4276,ほどう,歩道,n,"footpath, walkway, sidewalk"
4277,ほどく,,v5k,to unfasten
4278,ほとけ,仏,n,"Buddha, merciful person, Buddhist image, the dead"
4279,ほとんど,,"n-adv,n-t","mostly, almost"
4280,ほね,骨,"adj-na,n",bone
4281,ほのお,炎,n,flame
4282,ほほ,頬,n,cheek (of face)
4283,ほお,頬,n,cheek (of face)
4284,ほぼ,,adv,"almost, roughly, approximately"
4285,ほほえむ,微笑む,v5m,to smile
4286,ほめる,褒める,v1,"to praise, to admire, to speak well"
4287,ほり,堀,n,"moat, canal"
4288,ほり,濠,n,moat
4289,ほる,掘る,v5r,"to dig, to excavate"
4290,ほる,彫る,v5r,"to carve, to engrave, to sculpture, to chisel"
4291,ぼろ,,"n,pref","rag, scrap, tattered clothes, fault (esp. in a pretense)"
4292,ほん,本,"n,n-suf,n-t","(1) origin, original"
4293,ほん~,本~,,
4294,~ほん,~本,,counter for cylindrical things
4295,ぼん,盆,n,"Lantern Festival, Festival of the Dead, tray"
4296,ぼんち,盆地,n,basin (e.g. between mountains)
4297,ほんと,本当,"adj-na,n","truth, reality"
4298,ほんとう,本当,"adj-na,n","truth, reality"
4299,ほんにん,本人,n,the person himself
4300,ほんの~,,,original ~
4301,ほんぶ,本部,n,headquarters
4302,ほんもの,本物,n,genuine article
4303,ほんやく,翻訳,"n,vs","translation, de-encryption, deciphering"
4304,ぼんやり,,"adv,n,vs","absent-minded, block-head, dim, faint, vague"
4305,ほんらい,本来,"n-adv,n-t,adj-no","essentially, naturally, by nature"
4306,ま,間,n,"space, room, time, pause"
4307,まあ,,"adv,conj,int,n",(female) you might say
4308,マーケット,,n,market
4309,まあまあ,,"adj-na,adv,int",so-so
4310,まい~,毎~,,every ~
4311,マイク,,n,mike
4312,まいご,迷子,n,lost (stray) child
4313,まいすう,枚数,n,the number of flat things
4314,まいど,毎度,"n-adv,n-t","each time, common service-sector greeting"
4315,マイナス,,n,minus
4316,まいる,参る,v5r,"(1) (hum) to go, to come"
4317,まえ,前,"n-adv,n-t,suf","(1) before, previously"
4318,~まえ,~前,,
4319,まかせる,任せる,v1,"to entrust to another, to leave to"
4320,まがる,曲る,,
4321,まく,巻く,v5k,"to wind, to coil, to roll"
4322,まく,蒔く,v5k,to sow (seeds)
4323,まく,撒く,v5k,"to scatter, to sprinkle, to sow"
4324,まく,幕,,"curtain, bunting, act (in play)"
4325,まくら,枕,"n,n-suf","pillow, bolster"
4326,まけ,負け,n,"defeat, loss, losing (a game)"
4327,まける,負ける,v1,"to lose, to be defeated"
4328,まげる,曲げる,v1,"to bend, to crook, to lean"
4329,まご,孫,n,grandchild
4330,まごまご,,"adv,n",confused
4331,まさか,,adv,by no means
4332,まさつ,摩擦,"n,vs","friction, rubbing, rubdown, chafe"
4333,まさに,,adv,"correctly, surely"
4334,まざる,混ざる,"v5r,vi","to be mixed, to be blended with, to associate with, to mingle with, to join"
4335,まざる,交ざる,"v5r,vi","to be mixed, to be blended with, to associate with, to mingle with, to join"
4336,まじめ,真面目,"adj-na,n","diligent, serious, honest"
4337,まじる,混じる,"v5r,vi","to be mixed, to be blended with, to associate with"
4338,まじる,交じる,"v5r,vi","to be mixed, to be blended with, to associate with"
4339,ます,増す,"v5s,vi","to increase, to grow"
4340,まず,先ず,adv,"first (of all), to start with, about, almost, hardly (with neg. verb)"
4341,まずい,,adj,"unappetising, unpleasant (taste, appearance, situation), ugly"
4342,マスク,,n,mask
4343,まずしい,貧しい,adj,"poor, needy"
4344,マスター,,n,"proprietor, manager, barowner, master (e.g. arts, science)"
4345,ますます,,adv,"increasingly, more and more"
4346,まぜる,混ぜる,v1,"to mix, to stir"
4347,まぜる,交ぜる,"v1,vi","to be mixed, to be blended with"
4348,また,又,"adv,conj,n","again, and"
4349,まだ,未だ,adv,"yet, still, more, besides"
4350,またぐ,,v5g,to straddle
4351,または,又は,"conj,exp","or, otherwise"
4352,まち,町,n,"(1) town, (2) street, road"
4353,まち,街,n,"(1) town, (2) street, road"
4354,まちあいしつ,待合室,n,waiting room
4355,まちあわせる,待ち合わせる,v1,"to rendezvous, to meet at a prearranged place and time"
4356,まちがい,間違い,n,mistake
4357,まちがえる,間違える,v1,"to err, to make a mistake"
4358,まちかど,街角,n,street corner
4359,まつ,待つ,v5t,to wait
4360,まつ,松,n,"(1) pine tree, (2) highest (of a three-tier ranking system)"
4361,まっか,真っ赤,"adj-na,n","deep red, flushed (of face)"
4362,まっくら,真っ暗,"adj-na,n","total darkness, shortsightedness, pitch dark"
4363,まっくろ,真っ黒,"adj-na,n",pitch black
4364,まっさお,真っ青,"adj-na,n","deep blue, ghastly pale"
4365,まっさき,真っ先,n,"the head, the foremost, beginning"
4366,まっしろ,真っ白,"adj-na,n",pure white
4367,まっすぐ,真っ直ぐ,"adj-na,adv,n","straight (ahead), direct, upright"
4368,まったく,全く,adv,"really, truly, entirely, completely"
4369,マッチ,,n,match
4370,まつり,祭,n,"festival, feast"
4371,まつる,祭る,v5r,"to deify, to enshrine"
4372,まど,窓,n,window
4373,まどぐち,窓口,n,ticket window
4374,まとまる,纏まる,v5r,"to be collected, to be settled, to be in order"
4375,まとめる,纏める,"v1,vt","to put in order, to collect, to bring to a conclusion"
4376,まなぶ,学ぶ,v5b,"to study (in depth), to learn, to take lessons in"
4377,まにあう,間に合う,v5u,"(1) to be in time for, (2) to serve (suit, meet) the purpose, to be good enough"
4378,まね,真似,n,"mimicry, imitation, behavior, pretense"
4379,まねく,招く,v5k,to invite
4380,まねる,真似る,v1,"to mimic, to imitate"
4381,まぶしい,,adj,"dazzling, radiant"
4382,まぶた,,n,eyelids
4383,マフラー,,n,"muffler, scarf"
4384,ママ,,n,Mama
4385,~まま,,,keep ~ as it is
4386,まめ,豆,n,"beans, peas"
4387,まもなく,間も無く,adv,"soon, before long, in a short time"
4388,まもる,守る,v5r,"to protect, to obey, to guard, to abide (by the rules)"
4389,まよう,迷う,v5u,"to be puzzled, to be perplexed, to lose one's way"
4390,マラソン,,n,marathon
4391,まる,丸,n,"circle, full (month), perfection, purity, suffix for ship names"
4392,まる,円,n,"circle, money"
4393,まるい,丸い,adj,"round, circular, spherical"
4394,まるい,円い,adj,"round, circular, spherical"
4395,まるで,,adv,"quite, entirely, completely"
4396,まれ,稀,"adj-na,n","rare, seldom"
4397,まわす,回す,v5s,"to turn, to revolve"
4398,まわり,回り,"n,n-suf","circumference, surroundings, circulation"
4399,まわり,周り,"n,n-suf","circumference, surroundings, circulation"
4400,まわりみち,回り道,n,detour
4401,まん,万,"adv,num","10,000, ten thousand, myriads, all, everything"
4402,まんいち,万一,"adv,n","by some chance, by some possibility, if by any chance, 10E4:1 odds"
4403,まんいん,満員,n,"full house, no vacancy, sold out"
4404,まんが,漫画,n,"comic, cartoon"
4405,マンション,,n,"large apartment, apartment house"
4406,まんぞく,満足,"adj-na,n,vs",satisfaction
4407,まんてん,満点,n,perfect score
4408,まんなか,真中,n,"middle, centre, mid-way"
4409,まんねんひつ,万年筆,n,fountain pen
4410,み,身,n,"body, main part, oneself, sword"
4411,み,実,n,"fruit, nut, seed, content, good result"
4412,み~,未~,,
4413,（接尾）,~み,,
4414,みあげる,見上げる,v1,"to look up at, to raise one's eyes, to admire"
4415,みえる,見える,v1,"to be seen, to be in sight, to look, to seem, to appear"
4416,みおくり,見送り,n,"seeing one off, farewell, escort"
4417,みおくる,見送る,v5r,"(1) to see off, to farewell, (2) to escort, (3) to let pass"
4418,みおろす,見下ろす,v5s,"to overlook, to command a view of, to look down on something"
4419,みがく,磨く,v5k,"to polish, to shine, to brush, to refine, to improve"
4420,みかけ,見掛け,n,outward appearance
4421,みかた,味方,n,"friend, ally, supporter"
4422,みかづき,三日月,n,"new moon, crescent moon"
4423,みぎ,右,n,right hand side
4424,みごと,見事,"adj-na,n","splendid, magnificent, beautiful, admirable"
4425,みさき,岬,n,cape (on coast)
4426,みじかい,短い,adj,short
4427,みじめ,,adj-na,"(arch) sad, pitiful, wretched"
4428,ミシン,,n,sewing machine
4429,ミス,,n,"miss (mistake, error, failure), Miss"
4430,みず,水,n,water
4431,みずうみ,湖,n,lake
4432,みずから,自ら,"n-adv,n","for one's self, personally"
4433,みずぎ,水着,n,bathing suit (woman's)
4434,みせ,店,"n,n-suf","store, shop, establishment"
4435,みせや,店屋,n,"store, shop"
4436,みせる,見せる,v1,"to show, to display"
4437,みそ,味噌,n,"(1) miso, bean paste, (2) key (main) point"
4438,~みたい,,,looks like ~
4439,みだし,見出し,n,"heading, caption, subtitle, index"
4440,みち,道,n,"road, street, way, method"
4441,みちじゅん,道順,n,"itinerary, route"
4442,みちる,満ちる,v1,"to be full, to rise (tide), to mature, to expire"
4443,みつ,密,,
4444,みっか,三日,n,"three days, the third day (of the month)"
4445,みつかる,見付かる,v5r,"to be found, to be discovered"
4446,みつける,見付ける,v1,"to be familiar, to discover, to detect"
4447,みっつ,三つ,n,three
4448,みっともない,,uk,"shameful, indecent"
4449,みつめる,見詰める,v1,"to stare at, to gaze at, to look hard at, to watch intently, to fix one's eyes on"
4450,みとめる,認める,"v1,vt","to recognize, to appreciate, to approve, to admit, to notice"
4451,みどり,緑,n,greenery
4452,みな,皆,"adv,n","all, everyone, everybody"
4453,みんな,皆,"adv,n","all, everyone, everybody"
4454,みなおす,見直す,v5s,"to look again, to get a better opinion of"
4455,みなと,港,n,"harbour, port"
4456,みなみ,南,"n,vs","South, proceeding south"
4457,みなれる,見慣れる,v1,"to become used to seeing, to be familiar with"
4458,みにくい,醜い,adj,ugly
4459,みのる,実る,v5r,"to bear fruit, to ripen"
4460,みぶん,身分,n,"social position, social status"
4461,みほん,見本,n,sample
4462,みまい,見舞い,n,"enquiry, expression of sympathy, expression of concern"
4463,みまう,見舞う,v5u,"to ask after (health), to visit"
4464,みまん,未満,n-suf,"less than, insufficient"
4465,みみ,耳,n,ear
4466,みやげ,土産,n,"present, souvenir"
4467,みやこ,都,n,capital
4468,みょう,妙,"adj-na,n","strange, unusual"
4469,みょう~,明~,,
4470,みょうごにち,明後日,"n-adv,n-t",day after tomorrow
4471,みょうじ,名字,n,"surname, family name"
4472,みらい,未来,n,"future (life, tense)"
4473,（メートル）,ミリ,n,"milli-, 10^-3"
4474,みりょく,魅力,n,"charm, fascination, glamour"
4475,みる,見る,v1,"to see, to watch"
4476,みる,診る,v1,to examine (medical)
4477,ミルク,,n,milk
4478,みんかん,民間,"adj-no,n","private, civilian, civil, popular, folk, unofficial"
4479,みんしゅ~,民主~,,
4480,みんよう,民謡,n,"folk song, popular song"
4481,む,無,n,"nothing, naught, nil, zero"
4482,むいか,六日,,"six days, sixth (day of month)"
4483,むかい,向かい,"adj-no,n","facing, opposite, across the street, other side"
4484,むかう,向う,io,"(v5u) to face, to go towards"
4485,むかえ,迎え,n,"meeting, person sent to pick up an arrival"
4486,むかえる,迎える,v1,to go out to meet
4487,むかし,昔,"adj-no,n-adv,n-t","olden days, former"
4488,むく,向く,v5k,to face
4489,むく,剥く,v5k,"to peel, to skin, to pare, to hull"
4490,~むけ,~向け,,
4491,むける,向ける,v1,"to turn towards, to point"
4492,むげん,無限,"adj-na,n",infinite
4493,むこう,向こう,n,"beyond, over there, opposite direction, the other party"
4494,むし,虫,n,insect
